id,growth,fertilizer,watering
1,18.879048706895574,added,daily
2,19.53964502103344,added,daily
3,23.117416628298248,added,daily
4,20.141016782849153,added,daily
5,20.258575470321894,added,daily
6,23.43012997376656,added,daily
7,20.921832411978404,added,daily
8,17.46987753078693,added,daily
9,18.626294296212947,added,daily
10,19.108676059800082,added,daily
11,22.448163594878924,added,daily
12,20.719627654114728,added,daily
13,20.801542901188103,added,daily
14,20.221365431890238,added,daily
15,18.88831773049185,added,daily
16,18.573826273606155,added,weekly
17,15.995700956458478,added,weekly
18,11.066765686740723,added,weekly
19,16.40271180312737,added,weekly
20,14.054417184544132,added,weekly
21,12.86435258802631,added,weekly
22,14.56405017068341,added,weekly
23,12.94799110338552,added,weekly
24,13.54221754141772,added,weekly
25,13.749921464301487,added,weekly
26,11.626613378515174,added,weekly
27,16.67557408898905,added,weekly
28,15.30674623567303,added,weekly
29,12.723726125976105,added,weekly
30,17.507629842139853,added,weekly
31,13.852928442953628,none,daily
32,12.409857034015458,none,daily
33,14.790251322090045,none,daily
34,14.756266975066085,none,daily
35,14.643162163274974,none,daily
36,14.377280508200181,none,daily
37,14.107835307075177,none,daily
38,12.876176578846557,none,daily
39,12.388074672520167,none,daily
40,12.239057997975234,none,daily
41,11.610586042158975,none,daily
42,12.584165443960803,none,daily
43,10.469207296863472,none,daily
44,17.337911930677024,none,daily
45,15.415923996609981,none,daily
46,7.753782833593302,none,weekly
47,9.194230329401847,none,weekly
48,9.066689292753562,none,weekly
49,11.559930236672635,none,weekly
50,9.833261867056342,none,weekly
51,10.506637027989509,none,weekly
52,9.942906489302594,none,weekly
53,9.914259085417369,none,weekly
54,12.737204568028915,none,weekly
55,9.548458028681464,none,weekly
56,13.032941208859079,none,weekly
57,6.902494391539557,none,weekly
58,11.169227499272138,none,weekly
59,10.247708487689227,none,weekly
60,10.431883137487945,none,weekly
